,airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,baron_team200,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team100,hextechdragon_team200,inhibs_lost_team100,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,waterdragon_team200,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,chemtechdragon_team200,airdragon_team200,riftherald_team200
0,0.0,1.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,86.0,167.0,1079.0,312.0,563.0,164.0,115.0,700.0,337.0,208.0,4.0,0.0,2.0,1.0,3.0,0.0,5.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1615,1637450529086,4110665639,CLASSIC,teambuilder-match-4110665639,1637448913284,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,8.0,4.0,74.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,3.0,2.0,11.0,7.0,10.0,10.0,9.0,7.0,11.0,10.0,9.0,9.0,4779.0,3758.0,405.0,3919.0,174.0,1963.0,5318.0,604.0,263.0,134.0,NA1_4110665639,83.0,13.0,26.0,118.0,107.0,16.0,90.0,115.0,8.0,126.0,1579.0,679.0,4229.0,394.0,3972.0,508.0,3973.0,6866.0,3623.0,3459.0,420,0.0,1.0,445072.0,127902.0,221765.0,40956.0,20630.0,50393.0,53020.0,62474.0,80334.0,55734.0,900343.0,7609.0,4438.0,4796.0,4573.0,4146.0,2802.0,12626.0,8407.0,4150.0,3593.0,6036.0,4097.0,5344.0,4897.0,4863.0,3324.0,7025.0,5725.0,5162.0,5683.0,11.0,1.0,1249.0,0.0,162.0,260.0,0.0,330.0,3334.0,935.0,263.0,0.0,0.0,9.0,30.0,3.0,7.0,9.0,44.0,9.0,7.0,3.0,29.0,0.0,1.0,200.0,7450.0,3700.0,6330.0,7271.0,5113.0,3465.0,7606.0,6616.0,5462.0,5892.0,,,
1,0.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,,1.0,50.0,216.0,2093.0,549.0,541.0,537.0,400.0,379.0,186.0,556.0,2.0,3.0,2.0,0.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1638,1637448187844,4110670532,CLASSIC,teambuilder-match-4110670532,1637446548880,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,1.0,,1.0,0.0,0.0,98.0,4.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,10.0,8.0,10.0,11.0,9.0,8.0,10.0,9.0,10.0,8.0,2508.0,2258.0,578.0,3612.0,279.0,515.0,1491.0,24.0,3533.0,350.0,NA1_4110670532,89.0,13.0,12.0,121.0,117.0,20.0,89.0,18.0,91.0,109.0,6090.0,604.0,2947.0,758.0,4788.0,6956.0,5691.0,5151.0,190.0,3955.0,420,2.0,0.0,150829.0,12913.0,231671.0,405632.0,6538.0,66655.0,107569.0,180702.0,162100.0,20613.0,900270.0,8688.0,2863.0,3716.0,4602.0,5067.0,7826.0,8506.0,6770.0,3723.0,4305.0,6275.0,3916.0,6393.0,6184.0,6066.0,5437.0,5400.0,5979.0,4996.0,5581.0,2.0,8.0,90.0,0.0,190.0,231.0,0.0,355.0,1323.0,1594.0,0.0,0.0,0.0,11.0,27.0,3.0,7.0,10.0,44.0,8.0,5.0,12.0,12.0,0.0,,100.0,6509.0,4738.0,6984.0,8222.0,5564.0,5016.0,7014.0,5741.0,6863.0,4929.0,,,
2,0.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,7.0,4.0,0.0,1.0,0.0,305.0,1206.0,244.0,228.0,51.0,475.0,298.0,1781.0,716.0,1507.0,3.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2106,1637492423008,4111642986,CLASSIC,teambuilder-match-4111642986,1637490316699,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,7.0,1.0,1.0,10.0,10.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,3415.0,3257.0,308.0,218.0,621.0,306.0,0.0,5273.0,1142.0,1589.0,NA1_4111642986,70.0,97.0,9.0,101.0,123.0,5.0,123.0,18.0,15.0,90.0,276.0,715.0,3126.0,2929.0,4348.0,5721.0,4887.0,327.0,469.0,3839.0,400,1.0,1.0,264.0,105360.0,51393.0,78733.0,137894.0,24012.0,108786.0,180288.0,53073.0,0.0,900230.0,4241.0,4223.0,3656.0,3337.0,4969.0,6262.0,5463.0,7625.0,2059.0,5429.0,4090.0,4731.0,4344.0,4318.0,5451.0,4575.0,6301.0,7441.0,3741.0,4732.0,10.0,4.0,550.0,250.0,221.0,190.0,0.0,234.0,575.0,2024.0,447.0,0.0,92.0,13.0,7.0,2.0,12.0,15.0,29.0,11.0,1.0,101.0,7.0,0.0,,200.0,6183.0,6939.0,4754.0,6055.0,4963.0,4246.0,6927.0,7169.0,4549.0,5038.0,,,
3,1.0,0.0,6.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,5.0,1.0,1.0,2.0,389.0,413.0,1412.0,629.0,448.0,346.0,859.0,307.0,440.0,244.0,2.0,2.0,0.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,2248,1637405519509,4110292815,CLASSIC,teambuilder-match-4110292815,1637403270676,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,,3.0,0.0,0.0,96.0,4.0,4.0,0.0,0.0,56.0,4.0,0.0,0.0,5.0,3.0,6.0,2.0,1.0,0.0,0.0,6.0,1.0,3.0,10.0,8.0,11.0,11.0,8.0,7.0,9.0,10.0,10.0,9.0,178.0,3394.0,2721.0,1424.0,5139.0,1848.0,1404.0,5339.0,360.0,5957.0,NA1_4110292815,108.0,30.0,24.0,108.0,105.0,29.0,97.0,16.0,105.0,106.0,8914.0,950.0,953.0,5248.0,788.0,780.0,3421.0,1476.0,2825.0,1359.0,400,1.0,0.0,57193.0,96670.0,573139.0,63986.0,34870.0,71523.0,14337.0,181816.0,49748.0,137936.0,900224.0,9421.0,4345.0,4732.0,6673.0,5928.0,3795.0,4826.0,7649.0,3538.0,7316.0,6054.0,4938.0,7072.0,5479.0,4848.0,3606.0,4409.0,6417.0,4640.0,5839.0,6.0,9.0,328.0,0.0,1057.0,0.0,0.0,1166.0,0.0,834.0,353.0,0.0,0.0,12.0,9.0,4.0,8.0,4.0,55.0,13.0,3.0,23.0,8.0,1.0,,100.0,6961.0,4785.0,7740.0,7474.0,4607.0,4005.0,6111.0,6213.0,6643.0,5328.0,2.0,,
4,0.0,0.0,2.0,3.0,2.0,2.0,7.0,3.0,5.0,3.0,3.0,0.0,1.0,0.0,378.0,968.0,762.0,1226.0,1141.0,463.0,1157.0,2926.0,100.0,588.0,5.0,7.0,3.0,3.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1926,1637318350825,4109211355,CLASSIC,teambuilder-match-4109211355,1637316424808,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,,0.0,3.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,4.0,68.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,2.0,6.0,4.0,2.0,2.0,9.0,7.0,9.0,9.0,9.0,8.0,11.0,9.0,10.0,8.0,0.0,5037.0,774.0,444.0,186.0,3846.0,2515.0,3405.0,507.0,423.0,NA1_4109211355,74.0,45.0,1.0,97.0,91.0,16.0,109.0,13.0,101.0,62.0,3619.0,91.0,4203.0,4094.0,4648.0,881.0,4137.0,3648.0,1288.0,4180.0,400,0.0,0.0,103282.0,123031.0,161633.0,1618.0,14233.0,85437.0,31672.0,133957.0,77745.0,793.0,900233.0,3619.0,5442.0,5372.0,5023.0,5055.0,4959.0,9529.0,7728.0,1954.0,4604.0,3728.0,4043.0,4862.0,4876.0,7466.0,4798.0,6707.0,6366.0,6040.0,5088.0,9.0,3.0,0.0,313.0,395.0,484.0,219.0,232.0,2877.0,673.0,158.0,0.0,0.0,4.0,8.0,6.0,7.0,8.0,15.0,8.0,414.0,7.0,67.0,0.0,,200.0,5529.0,4050.0,5080.0,5836.0,5499.0,4303.0,8176.0,6093.0,7268.0,4674.0,3.0,1.0,1.0
5,0.0,3.0,8.0,4.0,1.0,3.0,5.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,184.0,979.0,2884.0,915.0,1510.0,665.0,38.0,1436.0,401.0,1081.0,1.0,4.0,4.0,2.0,1.0,7.0,3.0,5.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,2103,1637315982049,4109148816,CLASSIC,teambuilder-match-4109148816,1637313878846,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,1.0,1.0,6.0,2.0,6.0,0.0,0.0,4.0,2.0,8.0,10.0,7.0,10.0,9.0,10.0,7.0,10.0,9.0,9.0,9.0,1436.0,1138.0,0.0,691.0,322.0,4525.0,0.0,3509.0,4418.0,465.0,NA1_4109148816,86.0,21.0,20.0,89.0,103.0,11.0,102.0,10.0,63.0,80.0,1675.0,1945.0,8536.0,4399.0,5773.0,970.0,3285.0,1318.0,607.0,7259.0,400,0.0,0.0,148085.0,128236.0,177821.0,42577.0,12582.0,155145.0,9081.0,304859.0,49377.0,178210.0,900252.0,3111.0,3328.0,9012.0,5451.0,6095.0,5664.0,4429.0,5375.0,5026.0,8833.0,4684.0,4029.0,6934.0,4935.0,7710.0,4250.0,4463.0,5446.0,4466.0,7416.0,9.0,6.0,0.0,244.0,476.0,360.0,0.0,167.0,1144.0,547.0,0.0,1107.0,0.0,11.0,16.0,12.0,16.0,14.0,25.0,11.0,16.0,7.0,14.0,1.0,,200.0,7053.0,3794.0,6770.0,5715.0,6200.0,3329.0,6668.0,5674.0,5131.0,6056.0,,,1.0
6,0.0,0.0,7.0,1.0,0.0,3.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2094.0,558.0,95.0,313.0,546.0,525.0,766.0,445.0,1174.0,571.0,2.0,5.0,0.0,3.0,2.0,6.0,3.0,4.0,4.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,2172,1637300302950,4108917296,CLASSIC,teambuilder-match-4108917296,1637298130242,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,84.0,0.0,4.0,0.0,0.0,84.0,0.0,4.0,0.0,3.0,0.0,4.0,4.0,5.0,3.0,1.0,3.0,6.0,3.0,11.0,8.0,10.0,10.0,10.0,8.0,10.0,9.0,11.0,9.0,919.0,1579.0,3519.0,4823.0,154.0,5637.0,2667.0,0.0,452.0,188.0,NA1_4108917296,113.0,4.0,12.0,89.0,113.0,7.0,81.0,5.0,106.0,103.0,7826.0,229.0,689.0,363.0,6441.0,280.0,155.0,5408.0,9279.0,5794.0,400,0.0,1.0,0.0,92546.0,161773.0,40231.0,22799.0,81379.0,30213.0,143211.0,67493.0,146142.0,900307.0,9522.0,1808.0,4437.0,5229.0,6595.0,6242.0,2822.0,6315.0,10195.0,5983.0,6594.0,3643.0,5995.0,5193.0,7286.0,5274.0,4851.0,6595.0,6979.0,5601.0,8.0,4.0,776.0,0.0,228.0,42.0,0.0,324.0,0.0,906.0,464.0,0.0,0.0,51.0,37.0,1.0,17.0,9.0,296.0,12.0,0.0,10.0,13.0,0.0,,200.0,8350.0,4709.0,6678.0,7163.0,6425.0,4200.0,6507.0,5865.0,7418.0,5190.0,1.0,,1.0
7,0.0,1.0,5.0,5.0,3.0,8.0,3.0,3.0,3.0,4.0,6.0,0.0,1.0,0.0,609.0,648.0,1409.0,333.0,842.0,883.0,376.0,170.0,1552.0,671.0,6.0,4.0,5.0,6.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1566,1637297772423,4108931415,CLASSIC,teambuilder-match-4108931415,1637296206118,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0,0.0,5.0,6.0,8.0,3.0,4.0,10.0,7.0,11.0,9.0,8.0,8.0,12.0,10.0,10.0,9.0,1240.0,0.0,531.0,2891.0,1830.0,1809.0,1490.0,408.0,164.0,5615.0,NA1_4108931415,85.0,15.0,35.0,69.0,13.0,71.0,124.0,10.0,106.0,85.0,3788.0,2886.0,9618.0,364.0,1154.0,4492.0,5805.0,7798.0,6724.0,1300.0,400,1.0,0.0,58638.0,48073.0,345906.0,46394.0,71678.0,26822.0,28614.0,75677.0,45342.0,103481.0,900299.0,5028.0,3531.0,10544.0,3256.0,3160.0,6367.0,7295.0,8683.0,7341.0,7193.0,4509.0,4848.0,8904.0,4138.0,3817.0,5423.0,7121.0,7495.0,6362.0,6331.0,3.0,9.0,0.0,644.0,395.0,0.0,174.0,66.0,0.0,476.0,452.0,277.0,0.0,9.0,31.0,4.0,9.0,20.0,9.0,7.0,9.0,5.0,8.0,0.0,,100.0,6243.0,3720.0,7810.0,5278.0,4913.0,4760.0,8991.0,6370.0,7074.0,5399.0,1.0,,1.0
8,0.0,1.0,11.0,2.0,2.0,1.0,2.0,0.0,5.0,4.0,5.0,0.0,1.0,0.0,116.0,1896.0,903.0,1277.0,720.0,318.0,911.0,257.0,234.0,1373.0,6.0,0.0,3.0,1.0,4.0,5.0,1.0,4.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1567,1637510465892,4111789849,CLASSIC,teambuilder-match-4111789849,1637508898596,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,4.0,0.0,101.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,5.0,5.0,3.0,6.0,7.0,9.0,10.0,10.0,10.0,7.0,11.0,9.0,10.0,9.0,319.0,2095.0,151.0,268.0,0.0,1549.0,2294.0,7645.0,376.0,0.0,NA1_4111789849,77.0,2.0,8.0,109.0,93.0,6.0,116.0,10.0,90.0,90.0,4800.0,405.0,5180.0,3826.0,3818.0,761.0,1839.0,260.0,5959.0,6258.0,400,1.0,0.0,52555.0,20391.0,156371.0,39879.0,38778.0,103341.0,85620.0,59738.0,31613.0,143776.0,900296.0,5120.0,2501.0,5680.0,5095.0,4815.0,2590.0,6514.0,8527.0,6456.0,7783.0,4341.0,4346.0,7218.0,5987.0,5210.0,3343.0,6436.0,6277.0,5134.0,6248.0,11.0,2.0,0.0,0.0,348.0,1000.0,997.0,280.0,2380.0,620.0,120.0,1524.0,0.0,10.0,16.0,65.0,8.0,5.0,22.0,8.0,10.0,3.0,12.0,0.0,1.0,200.0,3790.0,5073.0,6739.0,6738.0,6425.0,3740.0,7955.0,5126.0,6901.0,5123.0,1.0,2.0,1.0
9,1.0,3.0,7.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,6.0,1.0,,0.0,155.0,638.0,627.0,241.0,1922.0,64.0,454.0,91.0,850.0,673.0,4.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,4.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1557,1637505480945,4111714792,CLASSIC,teambuilder-match-4111714792,1637503923046,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,4.0,0.0,85.0,0.0,4.0,0.0,0.0,84.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,6.0,0.0,1.0,7.0,1.0,3.0,10.0,9.0,9.0,10.0,10.0,7.0,9.0,10.0,10.0,9.0,3923.0,1220.0,0.0,10264.0,0.0,1563.0,599.0,1302.0,3257.0,1523.0,NA1_4111714792,76.0,27.0,6.0,90.0,87.0,6.0,61.0,20.0,93.0,102.0,3425.0,1213.0,3291.0,1049.0,7306.0,1266.0,6465.0,6325.0,440.0,5825.0,400,1.0,1.0,337748.0,45672.0,194605.0,132405.0,130480.0,26882.0,48184.0,330662.0,126423.0,1486.0,900201.0,7348.0,2666.0,3397.0,11314.0,7306.0,2830.0,8632.0,8158.0,3697.0,7348.0,5655.0,5048.0,5667.0,5526.0,6342.0,4319.0,4004.0,7666.0,4825.0,7023.0,3.0,5.0,0.0,232.0,106.0,0.0,0.0,0.0,1566.0,530.0,0.0,0.0,0.0,8.0,10.0,8.0,4.0,8.0,32.0,11.0,19.0,7.0,4.0,0.0,,100.0,7162.0,5432.0,5961.0,7054.0,6519.0,3950.0,5279.0,7100.0,6731.0,5897.0,,,
10,1.0,1.0,7.0,2.0,4.0,3.0,7.0,1.0,4.0,0.0,1.0,0.0,,0.0,401.0,481.0,109.0,157.0,487.0,208.0,915.0,2660.0,291.0,625.0,4.0,3.0,2.0,2.0,4.0,6.0,4.0,3.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1507,1637503456099,4111762069,CLASSIC,teambuilder-match-4111762069,1637501948563,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,4.0,91.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,7.0,3.0,3.0,4.0,7.0,3.0,11.0,8.0,10.0,11.0,10.0,8.0,11.0,10.0,10.0,9.0,0.0,3535.0,846.0,4081.0,0.0,5858.0,2922.0,295.0,7850.0,258.0,NA1_4111762069,101.0,5.0,8.0,104.0,99.0,10.0,94.0,6.0,70.0,98.0,3382.0,1545.0,5076.0,183.0,8677.0,1514.0,5609.0,3714.0,1421.0,4552.0,400,0.0,1.0,54428.0,111506.0,331521.0,157274.0,43866.0,141444.0,89180.0,182910.0,196399.0,21535.0,900206.0,4595.0,5784.0,6453.0,4265.0,8773.0,7959.0,8782.0,4790.0,9785.0,4905.0,5926.0,4771.0,6074.0,5607.0,8647.0,5533.0,6070.0,6950.0,6001.0,5285.0,8.0,3.0,1213.0,703.0,530.0,0.0,96.0,586.0,249.0,779.0,514.0,95.0,58.0,8.0,92.0,13.0,6.0,5.0,23.0,8.0,1.0,9.0,6.0,0.0,1.0,200.0,7683.0,4432.0,6245.0,7314.0,6435.0,4278.0,7804.0,7124.0,6133.0,5205.0,1.0,,1.0
11,1.0,3.0,0.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,335.0,1479.0,121.0,891.0,718.0,245.0,643.0,206.0,64.0,-159.0,8.0,5.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1589,1637454376800,4110763919,CLASSIC,teambuilder-match-4110763919,1637452787171,MATCHED_GAME,11.23.409.111,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,,0.0,,0.0,3.0,4.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,77.0,0.0,4.0,11.0,3.0,2.0,2.0,6.0,3.0,0.0,2.0,3.0,10.0,11.0,8.0,8.0,10.0,10.0,11.0,7.0,9.0,10.0,94.0,1414.0,4600.0,709.0,4548.0,2062.0,6817.0,2159.0,4570.0,0.0,NA1_4110763919,53.0,85.0,10.0,86.0,67.0,20.0,120.0,12.0,84.0,11.0,7366.0,12367.0,1045.0,5228.0,654.0,3392.0,1339.0,962.0,1167.0,4244.0,430,2.0,0.0,1618.0,42983.0,96376.0,47548.0,35054.0,369683.0,117653.0,52464.0,15995.0,176043.0,900274.0,8001.0,14242.0,5645.0,6168.0,5262.0,6157.0,8193.0,3327.0,5737.0,5391.0,5985.0,8479.0,5096.0,5041.0,4298.0,7070.0,6438.0,3731.0,5534.0,5501.0,6.0,5.0,540.0,460.0,0.0,230.0,60.0,702.0,36.0,204.0,0.0,1146.0,0.0,94.0,13.0,22.0,13.0,8.0,4.0,7.0,33.0,6.0,1.0,0.0,1.0,200.0,6878.0,7979.0,4290.0,4771.0,6176.0,6652.0,8032.0,3894.0,5722.0,6579.0,1.0,1.0,
12,0.0,5.0,3.0,1.0,1.0,0.0,4.0,4.0,6.0,3.0,2.0,1.0,,0.0,820.0,352.0,647.0,816.0,806.0,264.0,414.0,769.0,1176.0,211.0,4.0,4.0,1.0,3.0,3.0,2.0,6.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1989,1637452387169,4110668824,CLASSIC,teambuilder-match-4110668824,1637450397633,MATCHED_GAME,11.23.409.111,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,,0.0,1.0,0.0,0.0,88.0,0.0,0.0,68.0,1.0,9.0,0.0,4.0,0.0,0.0,1.0,6.0,0.0,5.0,8.0,1.0,0.0,1.0,4.0,2.0,8.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,9.0,11.0,1704.0,0.0,2122.0,0.0,709.0,3651.0,600.0,2038.0,0.0,6619.0,NA1_4110668824,10.0,10.0,125.0,98.0,9.0,82.0,97.0,1.0,132.0,139.0,723.0,4566.0,286.0,7800.0,7098.0,1040.0,5158.0,799.0,7381.0,668.0,430,2.0,0.0,47603.0,198687.0,222954.0,47765.0,151634.0,315839.0,68002.0,16777.0,0.0,259799.0,900291.0,2592.0,6166.0,2408.0,8000.0,8216.0,4692.0,5759.0,3142.0,7381.0,7785.0,4320.0,6717.0,5157.0,5966.0,6731.0,5649.0,4964.0,4784.0,7066.0,6682.0,8.0,6.0,164.0,1599.0,0.0,199.0,408.0,0.0,0.0,305.0,0.0,497.0,0.0,30.0,1.0,9.0,18.0,5.0,8.0,17.0,31.0,14.0,11.0,2.0,1.0,200.0,4943.0,6528.0,8251.0,4762.0,6957.0,6848.0,6108.0,5366.0,5671.0,8028.0,1.0,,
